points,algorithm,num_init,time_init_mean,time_init_std,time_prep_mean,time_prep_std,num_query,num_crashed,%crashed,num_timeout,%timeout,num_found,%found,num_f_gt_unavailable,%f_gt_unavailable,num_f_gt_not_found,%f_gt_not_found,num_f_gt_ok,%f_gt_ok,num_f_gt_err_weakly_simple,%f_gt_err_weakly_simple,num_f_gt_err_snap,%f_gt_err_snap,num_f_gt_err_other,%f_gt_err_other,num_not_found,%not_found,num_n_gt_unavailable,%n_gt_unavailable,num_n_gt_found,%n_gt_found,num_n_gt_ok,%n_gt_ok,num_crashed_timeout,%crashed_timeout,num_gt_unavailable,%gt_unavailable,num_gt_found_missmatch,%gt_found_missmatch,num_gt_ok,%gt_ok,num_gt_err_feature,%gt_err_feature,num_gt_err_other,%gt_err_other,time_locate,time_query,time_intersect,time_query_intersect,time_total,time_found_mean,time_found_std,%time_locate,%time_query,%time_intersect,%time_query_intersect
Mid,TriVis,34,7.369999999999999e-7,7.342217896273825e-7,0.01608089576470588,0.006936123767205501,34000,0,0.0,0,0.0,34000,100.0,0,0.0,15237,44.81470588235294,18763,55.18529411764706,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15237,44.81470588235294,18763,55.18529411764706,0,0.0,0,0.0,0.028271888000000234,0.16917962799999864,0.03235957500000006,0.20153920299999825,0.22981109099999852,6.7591497352940745e-6,4.7287060096793215e-6,12.302229573419682,73.61682469885656,14.080945727723936,87.6977704265803
NearM,CGAL-TEA-CE,34,0.8158339659117647,0.6525525836915989,0.007883744499999998,0.003316718608728972,34000,0,0.0,0,0.0,25213,74.15588235294118,0,0.0,0,0.0,25213,74.15588235294118,0,0.0,0,0.0,0,0.0,8787,25.844117647058823,0,0.0,0,0.0,8787,25.844117647058823,0,0.0,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,1.7791260449999964,0.0,0.0,1.2816303410000036,3.060756386,0.00012139596184507991,5.452256116044313e-5,58.12700589755452,0.0,0.0,41.87299410244549
NearM,CGAL-TEA-CI,34,0.613583933852941,0.49003046697683966,0.005896774999999999,0.002444835479712186,34000,1314,3.864705882352941,0,0.0,23899,70.29117647058824,0,0.0,0,0.0,23899,70.29117647058824,0,0.0,0,0.0,0,0.0,8787,25.844117647058823,0,0.0,0,0.0,8787,25.844117647058823,1314,3.864705882352941,0,0.0,0,0.0,32686,96.13529411764706,0,0.0,0,0.0,1.310204900999996,0.0,0.0,0.550453789999998,1.860658691000016,7.785508561027726e-5,3.8365699521960935e-5,70.4161868771227,0.0,0.0,29.583813122876133
NearM,CGAL-RSA-CE,34,0.8122088487352943,0.6457538030450205,9.402941176470585e-8,3.748897639518376e-8,34000,1111,3.2676470588235293,0,0.0,24102,70.88823529411765,0,0.0,0,0.0,23923,70.36176470588235,0,0.0,0,0.0,179,0.5264705882352941,8787,25.844117647058823,0,0.0,0,0.0,8787,25.844117647058823,1111,3.2676470588235293,0,0.0,0,0.0,32710,96.20588235294117,0,0.0,179,0.5264705882352941,1.690815623000014,0.0,0.0,210.44293709799993,212.1337527210004,0.008801499988424215,0.003916757159704429,0.7970516720287246,0.0,0.0,99.20294832797106
NearM,CGAL-RSA-CI,34,0.6121797082941176,0.487253134225168,5.364705882352941e-8,1.2504259523812645e-8,34000,2223,6.538235294117647,0,0.0,22990,67.61764705882354,0,0.0,0,0.0,22826,67.13529411764706,0,0.0,0,0.0,164,0.4823529411764706,8787,25.844117647058823,0,0.0,0,0.0,8787,25.844117647058823,2223,6.538235294117647,0,0.0,0,0.0,31613,92.97941176470589,0,0.0,164,0.4823529411764706,1.2686782210000003,0.0,0.0,119.0440500489996,120.31272827000039,0.005233263517616372,0.002346258108071649,1.0544837933962314,0.0,0.0,98.9455162066031
NearM,VisiLibity1,34,4.908647058823529e-5,2.0357687981537938e-5,0.0,0.0,34000,0,0.0,0,0.0,28053,82.50882352941177,0,0.0,2840,8.352941176470589,21943,64.53823529411764,0,0.0,93,0.2735294117647059,3177,9.344117647058823,5947,17.491176470588236,0,0.0,0,0.0,5947,17.491176470588236,0,0.0,0,0.0,2840,8.352941176470589,27890,82.02941176470588,93,0.2735294117647059,3177,9.344117647058823,9.16909754300001,0.0,0.0,814.2845396599951,823.4536372030027,0.029353496496025477,0.013226718509933321,1.1134928706058518,0.0,0.0,98.88650712939322
NearM,TriVis,34,5.441764705882353e-7,5.842380933597365e-7,0.016063965617647054,0.006862994050953056,34000,0,0.0,0,0.0,29542,86.88823529411765,0,0.0,4329,12.73235294117647,25213,74.15588235294118,0,0.0,0,0.0,0,0.0,4458,13.111764705882353,0,0.0,0,0.0,4458,13.111764705882353,0,0.0,0,0.0,4329,12.73235294117647,29671,87.26764705882353,0,0.0,0,0.0,0.019259851000000078,0.15322798200000118,0.029106877000000225,0.1823348589999991,0.20159470999999882,6.824003452711354e-6,4.770496016628141e-6,9.553748210952653,76.00793790670504,14.438313882343637,90.44625178904752
Overall,CGAL-TEA-CE,204,0.8224573279264706,0.6583164699517474,0.007900767431372547,0.0032946052724796278,204000,4,0.00196078431372549,7,0.003431372549019608,151876,74.44901960784314,0,0.0,0,0.0,151876,74.44901960784314,0,0.0,0,0.0,0,0.0,52113,25.54558823529412,0,0.0,0,0.0,52113,25.54558823529412,11,0.005392156862745098,0,0.0,0,0.0,203989,99.99460784313726,0,0.0,0,0.0,9.293562687999916,0.0,0.0,8.340960662000011,17.634523350000368,0.0001161113233822353,6.573413187662944e-5,52.70095768139785,0.0,0.0,47.29904231859965
Overall,CGAL-TEA-CI,204,0.612761891254902,0.4818642637538476,0.00589297188235294,0.002408203307368113,204000,8888,4.356862745098039,11,0.005392156862745098,142988,70.0921568627451,0,0.0,0,0.0,142988,70.0921568627451,0,0.0,0,0.0,0,0.0,52113,25.54558823529412,0,0.0,0,0.0,52113,25.54558823529412,8899,4.362254901960784,0,0.0,0,0.0,195101,95.63774509803922,0,0.0,0,0.0,6.808256125999975,0.0,0.0,3.5701565190000157,10.378412644999935,7.258240303382057e-5,4.082537686653922e-5,65.6001679532373,0.0,0.0,34.39983204676324
Overall,CGAL-RSA-CE,204,0.8128729719068631,0.6395063838916213,9.10098039215686e-8,2.6251528727914053e-8,204000,7239,3.5485294117647057,0,0.0,144648,70.90588235294118,10,0.004901960784313725,0,0.0,143760,70.47058823529412,0,0.0,0,0.0,878,0.4303921568627451,52113,25.54558823529412,0,0.0,0,0.0,52113,25.54558823529412,7239,3.5485294117647057,10,0.004901960784313725,0,0.0,195873,96.01617647058823,0,0.0,878,0.4303921568627451,9.001664446999959,0.0,0.0,1152.1377704480071,1161.139434895013,0.008027345244282762,0.004161972742569346,0.7752440556645003,0.0,0.0,99.22475594433499
Overall,CGAL-RSA-CI,204,0.6128486242696076,0.4816098314237978,5.0593137254901975e-8,9.075281860529916e-9,204000,17183,8.423039215686275,0,0.0,134704,66.03137254901961,9,0.004411764705882353,0,0.0,126111,61.819117647058825,294,0.14411764705882352,0,0.0,8290,4.063725490196078,52113,25.54558823529412,0,0.0,0,0.0,52113,25.54558823529412,17183,8.423039215686275,9,0.004411764705882353,0,0.0,178224,87.36470588235294,294,0.14411764705882352,8290,4.063725490196078,6.667630549999981,0.0,0.0,637.3520052750033,644.0196358249925,0.0047809986030481096,0.0024823678902752343,1.0353147915216454,0.0,0.0,98.96468520848003
Overall,VisiLibity1,204,5.1434063725490206e-5,2.0789413092957038e-5,0.0,0.0,204000,0,0.0,0,0.0,172236,84.42941176470588,11,0.005392156862745098,20350,9.97549019607843,128923,63.19754901960784,522,0.25588235294117645,1354,0.6637254901960784,21076,10.331372549019608,31764,15.570588235294117,0,0.0,1,0.0004901960784313725,31763,15.570098039215686,0,0.0,11,0.005392156862745098,20351,9.975980392156863,160686,78.76764705882353,1876,0.9196078431372549,21076,10.331372549019608,49.397649511999276,0.0,0.0,4974.081803873098,5023.479453384998,0.029166257073927622,0.013210923663238235,0.9833353549144785,0.0,0.0,99.01666464508749
Overall,TriVis,204,7.06372549019608e-7,7.463647323698315e-7,0.01607221271078432,0.006811696283571909,204000,0,0.0,0,0.0,176564,86.55098039215686,11,0.005392156862745098,24677,12.09656862745098,150516,73.78235294117647,543,0.2661764705882353,817,0.4004901960784314,0,0.0,27436,13.449019607843137,0,0.0,0,0.0,27436,13.449019607843137,0,0.0,11,0.005392156862745098,24677,12.09656862745098,177952,87.23137254901961,1360,0.6666666666666666,0,0.0,0.09800933299999691,0.9901003680000083,0.18925480600000435,1.1793551739999975,1.2773645069999988,7.234569374277875e-6,4.996873080681984e-6,7.672777227087695,77.51118514521316,14.816037627699997,92.32722277291195
